Utterance,Intents
I need to speak to your manager,"who-is-your-boss: 0.24
liveagent: 0.544
"
I need to speak to your supervisor,"who-is-your-boss: 0.24
liveagent: 0.544
"
I need to speak with someone in charge,"liveagent: 0.991
"
I need to speak with your boss,"who-is-your-boss: 0.258
liveagent: 0.455
"
I need to speak with your manager,"who-is-your-boss: 0.258
liveagent: 0.455
"
I need to speak with your supervisor,"who-is-your-boss: 0.258
liveagent: 0.455
"
I need to talk to someone in charge,"liveagent: 0.987
"
I need to talk to your boss,"who-is-your-boss: 0.316
liveagent: 0.308
"
I need to talk to your manager,"who-is-your-boss: 0.316
liveagent: 0.308
"
I need to talk to your supervisor,"who-is-your-boss: 0.316
liveagent: 0.308
"
I need to talk with someone in charge,"liveagent: 0.984
"
I need to talk with your boss,"who-is-your-boss: 0.351
liveagent: 0.269
"
I need to talk with your manager,"who-is-your-boss: 0.351
liveagent: 0.269
"
I need to talk with your supervisor,"who-is-your-boss: 0.351
liveagent: 0.269
"
I want to speak to someone in charge,"liveagent: 0.985
"
I want to speak to your boss,"who-is-your-boss: 0.474
liveagent: 0.309
"
I want to speak to your manager,"who-is-your-boss: 0.474
liveagent: 0.309
"
I want to speak to your supervisor,"who-is-your-boss: 0.474
liveagent: 0.309
"
I want to speak with someone in charge,"liveagent: 0.987
"
I want to speak with your boss,"who-is-your-boss: 0.499
liveagent: 0.246
"
I want to speak with your manager,"who-is-your-boss: 0.499
liveagent: 0.246
"
I want to speak with your supervisor,"who-is-your-boss: 0.499
liveagent: 0.246
"
I want to talk to someone in charge,"liveagent: 0.973
"
I want to talk to your boss,"who-is-your-boss: 0.57
"
I want to talk to your manager,"who-is-your-boss: 0.57
"
I want to talk to your supervisor,"who-is-your-boss: 0.57
"
I want to talk with someone in charge,"liveagent: 0.972
"
I want to talk with your boss,"who-is-your-boss: 0.589
"
I want to talk with your manager,"who-is-your-boss: 0.589
"
I want to talk with your supervisor,"who-is-your-boss: 0.589
"
cakap ngan ejen,"liveagent: 0.994
"
nak cakap dgn orang,"liveagent: 0.992
"
nak cakap dgn ejen,"liveagent: 0.989
"
ada orang tak,"liveagent: 0.969
"
nak cakap dgn manusia,"liveagent: 0.992
"
nak org pls,"liveagent: 0.679
"
cakap ngan manusia pls,"liveagent: 0.822
"
tak nak chatbot,"liveagent: 0.869
"
tak nak robot,"liveagent: 0.846
"
selain robot ada tak,"liveagent: 0.987
"
ini manusia ke robot,"who-is-your-mentor: 0.21
liveagent: 0.676
"
ejen yang bukan robot pls,"liveagent: 0.872
"
manusia tak ade ke,"liveagent: 0.951
"
mane semua manusia,"liveagent: 0.88
"
orang yang real pls,"liveagent: 0.964
"
ni orang real ke,"liveagent: 0.956
"
ejen yang real ade,"liveagent: 0.989
"
tak nak bot,"liveagent: 0.735
"
tak nak mesin,"liveagent: 0.735
"
ni mesin ke orang betul,"liveagent: 0.655
"
manusia ke ni,"liveagent: 0.476
"
mana boss kau,"liveagent: 0.766
"
ejen ada tak,"liveagent: 0.79
"
caner nak selesai ni,"end chat: 0.588
"
awak tak faham,"liveagent: 0.939
"
